tenure,breakdown,year,pct
everyone,Q1,1984,0.18806515255416317
everyone,Q1,1986,0.18347378571062878
everyone,Q1,1988,0.18169806811933362
everyone,Q1,1993,0.20994673309463488
everyone,Q1,1998,0.20499610207683103
everyone,Q1,2000,0.1864750605263937
everyone,Q1,2002,0.19621813750743416
everyone,Q1,2003,0.17580564377693267
everyone,Q1,2005,0.17582880236426518
everyone,Q1,2007,0.19021199935462238
everyone,Q1,2009,0.19948092867326625
everyone,Q1,2011,0.21232921836559268
everyone,Q1,2013,0.22100977828204818
everyone,Q1,2015,0.21598703832271782
everyone,Q1,2017,0.22930591999667943
everyone,Q1,2019,0.22409292384239388
everyone,Q1,2022,0.2303248428304423
everyone,Q1,2023,0.23029282493292993
everyone,Q2,1984,0.14626631250478409
everyone,Q2,1986,0.16808681262179104
everyone,Q2,1988,0.15954950949001093
everyone,Q2,1993,0.17112044221725017
everyone,Q2,1998,0.17713039412323664
everyone,Q2,2000,0.14852835825195043
everyone,Q2,2002,0.16593581247485542
everyone,Q2,2003,0.1615312415752624
everyone,Q2,2005,0.17687432187253377
everyone,Q2,2007,0.1647756472646196
everyone,Q2,2009,0.18181434928218768
everyone,Q2,2011,0.18689787016813417
everyone,Q2,2013,0.18397333341140076
everyone,Q2,2015,0.1925351101796005
everyone,Q2,2017,0.19822988133415534
everyone,Q2,2019,0.1860395420723197
everyone,Q2,2022,0.21426438497760422
everyone,Q2,2023,0.22525066352108516
everyone,Q3,1984,0.14064629274188453
everyone,Q3,1986,0.1283663442433731
everyone,Q3,1988,0.14259470737468688
everyone,Q3,1993,0.1631208093426115
everyone,Q3,1998,0.15195020561169148
everyone,Q3,2000,0.13438385878442577
everyone,Q3,2002,0.14516684997825827
everyone,Q3,2003,0.1509635288873332
everyone,Q3,2005,0.16678700804972296
everyone,Q3,2007,0.15480319252350166
everyone,Q3,2009,0.16474339384086634
everyone,Q3,2011,0.1676070801117298
everyone,Q3,2013,0.16658926678055017
everyone,Q3,2015,0.1703940577421762
everyone,Q3,2017,0.16900247957201675
everyone,Q3,2019,0.16599114511138796
everyone,Q3,2022,0.1942415103956506
everyone,Q3,2023,0.20417674503334715
everyone,Q4,1984,0.11475718328838369
everyone,Q4,1986,0.1262885717330098
everyone,Q4,1988,0.14050490628793783
everyone,Q4,1993,0.15563136713137793
everyone,Q4,1998,0.1536811004213434
everyone,Q4,2000,0.13914805982216763
everyone,Q4,2002,0.13752584909371934
everyone,Q4,2003,0.16169800728474396
everyone,Q4,2005,0.16117274531424272
everyone,Q4,2007,0.16264520534739527
everyone,Q4,2009,0.15929175411683935
everyone,Q4,2011,0.16087136746763814
everyone,Q4,2013,0.16013161159594497
everyone,Q4,2015,0.1510909323898009
everyone,Q4,2017,0.15953372355517917
everyone,Q4,2019,0.15807769145394007
everyone,Q4,2022,0.19224737446834245
everyone,Q4,2023,0.20864953080375356
everyone,Q5,1984,0.08737213404382514
everyone,Q5,1986,0.07087937596246487
everyone,Q5,1988,0.09522860712289218
everyone,Q5,1993,0.11915470130010543
everyone,Q5,1998,0.11477163767744142
everyone,Q5,2000,0.09365313963481267
everyone,Q5,2002,0.10199012958532173
everyone,Q5,2003,0.11318338603533484
everyone,Q5,2005,0.10821526137108083
everyone,Q5,2007,0.09885762533293305
everyone,Q5,2009,0.10986880567406714
everyone,Q5,2011,0.11107449212548047
everyone,Q5,2013,0.10471745791639667
everyone,Q5,2015,0.10758477709968634
everyone,Q5,2017,0.10895521239544516
everyone,Q5,2019,0.10643581058285313
everyone,Q5,2022,0.12111718804181207
everyone,Q5,2023,0.1254453053554936
mortgagee,Q1,1984,0.381712394
mortgagee,Q1,1986,0.627550063
mortgagee,Q1,1988,0.380195158
mortgagee,Q1,1993,0.509985139
mortgagee,Q1,1998,0.398315672
mortgagee,Q1,2000,0.420406904
mortgagee,Q1,2002,0.444351467
mortgagee,Q1,2003,0.413954404
mortgagee,Q1,2005,0.401470097
mortgagee,Q1,2007,0.425172926
mortgagee,Q1,2009,0.421934408
mortgagee,Q1,2011,0.434265974
mortgagee,Q1,2013,0.44427285
mortgagee,Q1,2015,0.402948894
mortgagee,Q1,2017,0.453841398
mortgagee,Q1,2019,0.464173666
mortgagee,Q1,2022,0.592225208
mortgagee,Q1,2023,0.642103345
mortgagee,Q2,1984,0.240953468
mortgagee,Q2,1986,0.293627923
mortgagee,Q2,1988,0.273666091
mortgagee,Q2,1993,0.302592521
mortgagee,Q2,1998,0.289654131
mortgagee,Q2,2000,0.239743946
mortgagee,Q2,2002,0.273621425
mortgagee,Q2,2003,0.262306272
mortgagee,Q2,2005,0.295991894
mortgagee,Q2,2007,0.265007436
mortgagee,Q2,2009,0.301564011
mortgagee,Q2,2011,0.276816276
mortgagee,Q2,2013,0.258312685
mortgagee,Q2,2015,0.277309931
mortgagee,Q2,2017,0.281956481
mortgagee,Q2,2019,0.270976061
mortgagee,Q2,2022,0.393953088
mortgagee,Q2,2023,0.407297899
mortgagee,Q3,1984,0.216502015
mortgagee,Q3,1986,0.208216172
mortgagee,Q3,1988,0.234853517
mortgagee,Q3,1993,0.291030722
mortgagee,Q3,1998,0.248336695
mortgagee,Q3,2000,0.22561024
mortgagee,Q3,2002,0.231882547
mortgagee,Q3,2003,0.236473939
mortgagee,Q3,2005,0.262713534
mortgagee,Q3,2007,0.24393537
mortgagee,Q3,2009,0.245729575
mortgagee,Q3,2011,0.24106035
mortgagee,Q3,2013,0.237456413
mortgagee,Q3,2015,0.241173151
mortgagee,Q3,2017,0.229091559
mortgagee,Q3,2019,0.219913279
mortgagee,Q3,2022,0.296091219
mortgagee,Q3,2023,0.316967521
mortgagee,Q4,1984,0.179942079
mortgagee,Q4,1986,0.194632556
mortgagee,Q4,1988,0.214853869
mortgagee,Q4,1993,0.268756333
mortgagee,Q4,1998,0.229003128
mortgagee,Q4,2000,0.204640982
mortgagee,Q4,2002,0.196304089
mortgagee,Q4,2003,0.233968445
mortgagee,Q4,2005,0.239046654
mortgagee,Q4,2007,0.229047344
mortgagee,Q4,2009,0.224756832
mortgagee,Q4,2011,0.221131824
mortgagee,Q4,2013,0.211656177
mortgagee,Q4,2015,0.203507345
mortgagee,Q4,2017,0.206064822
mortgagee,Q4,2019,0.204102367
mortgagee,Q4,2022,0.274651601
mortgagee,Q4,2023,0.303918113
mortgagee,Q5,1984,0.144592288
mortgagee,Q5,1986,0.130884943
mortgagee,Q5,1988,0.188614687
mortgagee,Q5,1993,0.225445584
mortgagee,Q5,1998,0.203344025
mortgagee,Q5,2000,0.160612958
mortgagee,Q5,2002,0.169234118
mortgagee,Q5,2003,0.197742155
mortgagee,Q5,2005,0.190359355
mortgagee,Q5,2007,0.182879878
mortgagee,Q5,2009,0.182601577
mortgagee,Q5,2011,0.178482824
mortgagee,Q5,2013,0.163382424
mortgagee,Q5,2015,0.167046061
mortgagee,Q5,2017,0.16876127
mortgagee,Q5,2019,0.159853002
mortgagee,Q5,2022,0.212959288
mortgagee,Q5,2023,0.229300129
renter,Q1,1984,0.251895747
renter,Q1,1986,0.284211908
renter,Q1,1988,0.277435887
renter,Q1,1993,0.279438934
renter,Q1,1998,0.320112404
renter,Q1,2000,0.309952421
renter,Q1,2002,0.336061409
renter,Q1,2003,0.303343727
renter,Q1,2005,0.30799745
renter,Q1,2007,0.319511737
renter,Q1,2009,0.333676481
renter,Q1,2011,0.345228126
renter,Q1,2013,0.365064757
renter,Q1,2015,0.352647322
renter,Q1,2017,0.370015872
renter,Q1,2019,0.3553709
renter,Q1,2022,0.331889718
renter,Q1,2023,0.326474448
renter,Q2,1984,0.196586219
renter,Q2,1986,0.231653314
renter,Q2,1988,0.198908139
renter,Q2,1993,0.236865105
renter,Q2,1998,0.237241008
renter,Q2,2000,0.244590017
renter,Q2,2002,0.254647429
renter,Q2,2003,0.244601046
renter,Q2,2005,0.245988846
renter,Q2,2007,0.238368349
renter,Q2,2009,0.258563022
renter,Q2,2011,0.265275562
renter,Q2,2013,0.277536867
renter,Q2,2015,0.279358874
renter,Q2,2017,0.27381704
renter,Q2,2019,0.262954799
renter,Q2,2022,0.247053819
renter,Q2,2023,0.251529267
renter,Q3,1984,0.168634582
renter,Q3,1986,0.163848186
renter,Q3,1988,0.2001326
renter,Q3,1993,0.217751976
renter,Q3,1998,0.213020085
renter,Q3,2000,0.212244174
renter,Q3,2002,0.213230021
renter,Q3,2003,0.202333066
renter,Q3,2005,0.212858224
renter,Q3,2007,0.207252646
renter,Q3,2009,0.223182689
renter,Q3,2011,0.22838105
renter,Q3,2013,0.232115781
renter,Q3,2015,0.2303579
renter,Q3,2017,0.22956426
renter,Q3,2019,0.227533399
renter,Q3,2022,0.216092522
renter,Q3,2023,0.219297326
renter,Q4,1984,0.14085722
renter,Q4,1986,0.134072565
renter,Q4,1988,0.179244224
renter,Q4,1993,0.193315042
renter,Q4,1998,0.197175888
renter,Q4,2000,0.190296006
renter,Q4,2002,0.191066759
renter,Q4,2003,0.185382597
renter,Q4,2005,0.18343468
renter,Q4,2007,0.185982437
renter,Q4,2009,0.191617743
renter,Q4,2011,0.196465919
renter,Q4,2013,0.205696279
renter,Q4,2015,0.187487208
renter,Q4,2017,0.195670602
renter,Q4,2019,0.199569913
renter,Q4,2022,0.190339691
renter,Q4,2023,0.195413195
renter,Q5,1984,0.108161011
renter,Q5,1986,0.086478762
renter,Q5,1988,0.124551792
renter,Q5,1993,0.144078024
renter,Q5,1998,0.140668525
renter,Q5,2000,0.140460706
renter,Q5,2002,0.149591901
renter,Q5,2003,0.13758668
renter,Q5,2005,0.146034057
renter,Q5,2007,0.127911999
renter,Q5,2009,0.138714669
renter,Q5,2011,0.15106195
renter,Q5,2013,0.153540039
renter,Q5,2015,0.154421843
renter,Q5,2017,0.16227264
renter,Q5,2019,0.150789496
renter,Q5,2022,0.141404629
renter,Q5,2023,0.144677035
renter,overall,1984,0.17524423096057998
mortgagee,overall,1984,0.1658254873565651
everyone,overall,1984,0.12385614307257997
renter,overall,1986,0.175968934963839
mortgagee,overall,1986,0.17213547772213836
everyone,overall,1986,0.12007542278090037
renter,overall,1988,0.20639941238472911
mortgagee,overall,1988,0.19913894644429236
everyone,overall,1988,0.13570712119852998
renter,overall,1993,0.2296427553855324
mortgagee,overall,1993,0.23732282637945076
everyone,overall,1993,0.15694325672825593
renter,overall,1998,0.23247308579527068
mortgagee,overall,1998,0.21013834806508538
everyone,overall,1998,0.1530949571145151
renter,overall,2000,0.2326996998927292
mortgagee,overall,2000,0.17942740752909156
everyone,overall,2000,0.13174693742221144
renter,overall,2002,0.24085341405809094
mortgagee,overall,2002,0.1851115316124443
everyone,overall,2002,0.14001637396840738
renter,overall,2003,0.22899272221507674
mortgagee,overall,2003,0.20498123749430738
everyone,overall,2003,0.14977493119204052
renter,overall,2005,0.23479170603136612
mortgagee,overall,2005,0.20999425456842438
everyone,overall,2005,0.15179215921127676
renter,overall,2007,0.22462207841704296
mortgagee,overall,2007,0.19967005219400685
everyone,overall,2007,0.1445829394861074
renter,overall,2009,0.2277109710025571
mortgagee,overall,2009,0.18753587940715113
everyone,overall,2009,0.14504399137919746
renter,overall,2011,0.23866690976971475
mortgagee,overall,2011,0.18419335476474688
everyone,overall,2011,0.1484487529673695
renter,overall,2013,0.24643480529143952
mortgagee,overall,2013,0.17385635648063863
everyone,overall,2013,0.14533505548253403
renter,overall,2015,0.24490178223078704
mortgagee,overall,2015,0.17457878559834114
everyone,overall,2015,0.14644190801802112
